id;TA Rating;TA URL;TA Review Count;url;min_person;gps_longitude;gps_latitude;city;address;country;universe;price;rating;name;seo_title;short_desc;long_desc;seo_desc;image;rating
553589;5;https://www.tripadvisor.com/Attraction_Review-g187147-d11959468-Reviews-Paris_a_l_envers-Paris_Ile_de_France.html?m=67180;10;unsere-smartbox/kurzurlaub/traumhaftes-wochenende-829.html;5;2.2502091;48.7099164;Palaiseau;5 ter rue Pierre de Coubertin;FR;ADV;230;;Guided tour to meet the history of Paris;Guided tour - Paris - Smartbox;Guided tour to meet the history of Paris;A multifaceted city, Paris is discovered and rediscovered with pleasure. It is through the prism of the history of its most emblematic monuments that the Paris à l'Envers organisation offers a unique experience: to meet the capital's past. The curious will choose their playground among sites as varied as the Eiffel Tower, the Trocadero, the Arc de Triomphe, the Champs Elysées, the Louvre Palace and its pyramid or Notre-Dame Cathedral. There will be a half-day of exciting peregrinations to meet the great and the small history. Between unusual anecdotes, highlights of the history of France and contemplative and gourmet breaks, time will take on a completely different dimension. One-day historians will be propelled into the whirlwind of the past, in the heart of a city that never ceases to fascinate and surprise. A visit to the top of his art, in one of the most beautiful cities in the world.;Offer a meeting of the emblematic monuments of the capital during a guided tour rich in anecdotes. Break the mysteries of Paris!;https://media.smartbox.com/pim/filters:format(webp)/10000026297141451468491.jpg;0
553618;4.5;https://www.tripadvisor.com/Hotel_Review-g2144899-d6861353-Reviews-ALTIPIK_Camp-Mont_Saxonnex_Haute_Savoie_Auvergne_Rhone_Alpes.html?m=67180;147;unsere-smartbox/kurzurlaub/europa-entdecken-831.html;2;6.487318;46.041052;Mont-Saxonnex;Morsullaz;FR;STG;220;8;2-day stay in a lodge with dinner in Haute-Savoie;Unusual 2-day stay - Mont-Saxonnex - Smartbox;2-day stay in a lodge with dinner in Haute-Savoie;Bivouac in the middle of nature while keeping modern comfort, the little chic side in addition, this is what the Altipik tipi village offers, ideally located between Geneva and Chamonix Mont-Blanc, in Mont-Saxonnex. Nature lovers looking for disconnection will discover a new way of camping with a glamorous touch: glamping! Farewell sleeping bag and badly mounted tent, and welcome to a new era. Wooden floors, feather duvets and lantern-dunk lighting, lodges, as they are called here, are comfortable for a stay full of sweetness. In addition to the pure air of nature and exceptional landscapes, in the evening, there is a delicious traditional Savoyard meal accompanied by a great regional wine, chignin-bergeron. This magnificent natural panorama bathed in lakes is the ideal place to share an atypical moment in a mountain atmosphere!;Make the gift of a gourmet stay in an unusual and glamorous tent in the village of Altipik tipis. Immerse yourself in a mountain atmosphere!;https://media.smartbox.com/pim/filters:format(webp)/1000002260659332367.jpg;1
553620;4.5;https://www.tripadvisor.com/Hotel_Review-g3708964-d3297857-Reviews-La_Charmante-Xertigny_Vosges_Grand_Est.html?m=67180;208;nostri-smartbox/benessere/momenti-di-benessere-834.html;2;6.3076545;48.0709456;Xertigny;563 route du Coney;FR;STA;110;10;2-day stay in a wine trailer in the Vosges;2-day stay in a wine trailer - Vosges - Smartbox;2-day stay in a wine trailer in the Vosges;A real invitation to relaxation and good humour, the La Charmante guest house is located in the south of the Vosges, in the heart of a still preserved nature. A stop at this beautiful restored farm, nestled on the edge of a pond, will be perfect for lovers of a friendly and warm atmosphere. Wooden furniture and exposed beams give joyful rustic accents in its cosy common areas where authenticity and tranquillity are the watchwords. Its wine trailer houses an alcove bed with irresistible charm, perfect for a quiet rest, away from the daily worries. A generous breakfast, to be enjoyed by the fire, or under the pergola on sunny days, will delight the most gourmet taste buds. All that remains is to explore the many activities offered by the region: hiking, snow fun, swimming or discovering local crafts. A rejuvenating stay in the Vosges terroir.;Spend an unforgettable night in a wine trailer at the La Charmante guest house in the Vosges. An atypical and bucolic escape!;https://media.smartbox.com/pim/filters:format(webp)/1000002260671593948652.jpg;1
553645;4;https://www.tripadvisor.com/Hotel_Review-g187080-d477786-Reviews-Hotel_Le_Biarritz-Biarritz_Basque_Country_Pyrenees_Atlantiques_Nouvelle_Aquitaine.html?m=67180;741;nos-smartbox/bien-etre/rituels-et-spas-d-exception-en-duo-878.html;2;-1.5691504;43.4693535;Biarritz;30 avenue de la Milady;FR;STW;290;7.02;Stay in a thalasso hotel with dinner in Biarritz;Hotel Le Biarritz - Biarritz - Smartbox;Stay in a thalasso hotel with dinner in Biarritz;A modern beachfront establishment, the Hotel Le Biarritz is the perfect setting for a delicious stay. Relaxation and fulness will be on the program of this wonderful getaway, thanks to the wellness centre located just 150 metres away. The heated seawater pools, sauna and hammam are conducive to relaxation and complete comfort. To perfect this parenthesis of relaxation and complicity, the centre team provides a body and face modelling with exceptional benefits. On the gastronomy side, the Ponton, the hotel's restaurant with terrace and views of Biarritz, offers a refined dinner composed of fresh and local products that will satisfy the most demanding palates. The absolute calm that reigns in the large and bright room is the guarantee of a good night's sleep. A rejuvenating stop to leave full of energy with a light mind and body!;Offer a relaxing stay by the sea at the Hotel Le Biarritz. A gourmet stay with thalasso access, for a moment of absolute rest.;https://media.smartbox.com/pim/filters:format(webp)/1000002264218457366618.jpg;20
553655;4;https://www.tripadvisor.com/Hotel_Review-g608818-d506298-Reviews-Hotel_Radiana-La_Lechere_Savoie_Auvergne_Rhone_Alpes.html?m=67180;624;nostri-smartbox/sport-e-svago/adrenalina-1011.html;2;6.483591;45.514883;Aigueblanche;La Léchère les Bains;FR;WEL;110;10;15-minute Medi-jet treatment with free access to the spa in the Alps;Medi-jet care and access to the spa - Aigueblanche - Smartbox;15-minute Medi-jet treatment with free access to the spa in the Alps;Located on the banks of the Isère, the Spa Õ des Lauzes is a real haven of sweetness that offers an exclusive collection of treatments inspired by thermalism as well as a succession of wellness areas over 1500 m². Going to this complex installed in the Radiana Resort and labelled SPA de France, allows you to discover for two the benefits of the thermal spring of La Léchère-les-Bains from which it draws its water. The hammam and sauna will be the first stages of this passage before an invigorating dip in the indoor and outdoor pools. This relaxing interlude invites following the program: a session on a Medyjet, a hydro-massage mattress on which powerful jets of pressurised hot water are projected. To end this day in style under the sign of relaxation and escape, the herbal tea area has a wide selection of drinks to enjoy while enjoying a sumptuous view of the valley. A wellness appointment in Savoie!;Invite your loved ones to enjoy the benefits of thermalism at the Ô des Lauzes spa. An appointment dedicated to well-being in the heart of Savoy!;https://media.smartbox.com/pim/filters:format(webp)/10000022656342112166253.jpg;2
553656;3.5;https://www.tripadvisor.com/Attraction_Review-g187120-d10093735-Reviews-Cinderella_Institut_Thalasso_SPA-Bourges_Cher_Berry_Centre_Val_de_Loire.html?m=67180;26;nuestras-smartbox/estancias/tres-dias-con-sabor-de-amor-857.html;2;2.3691289;47.0978172;Saint Doulchard;37 Avenue Henri Debord;FR;WEL;110;;2 hours of access to the spa and Phytomer treatment of 30 min to sea mud;Institut Spa Cinderella - Bourges - Smartbox;2 hours of access to the spa and Phytomer treatment of 30 min to sea mud;In Bourges, the Cinderella Spa Institute invites everyone to a moment of well-being as a duo in its 200 m² specially dedicated to relaxation. This warm place, which offers its customers a wide range of treatments, highlights the benefits of water and the expertise of its beauticians. In a Zen and refined setting, the various spa facilities are to be discovered for two hours, as well as the exceptional virtues of marine mud during a 30-minute Phytomer treatment that will help release toxins and oxygenate the skin, to regain the most spectacular softness and radiance. Tensions will evaporate in the beneficial heat of the sauna or hammam, while pure water from the relaxation or infrared shower will provide exceptional refreshment. To complete this gentle break, the whirlpool and herbal tea will be the last stages of this unforgettable journey of the senses!;Offer a moment of relaxation at the duo spa and enjoy the virtues of a Phytomer treatment with marine mud. A pure moment of relaxation to share in Bourges!;https://media.smartbox.com/pim/filters:format(webp)/100000226574733558443.jpg;0
553663;4.5;https://www.tripadvisor.com/Restaurant_Review-g187123-d1840209-Reviews-Auberge_du_Bon_Laboureur-Chenonceaux_Indre_et_Loire_Centre_Val_de_Loire.html?m=67180;721;nostri-smartbox/soggiorni/favola-di-una-notte-851.html;2;1.0663232;47.3322755;Chenonceaux;6 rue du Docteur Bretonneau;FR;GAS;300;10;Dinner in a restaurant mentioned in the MICHELIN 2022 Guide in the Loire Valley;4-course gourmet dinner - Chenonceaux - Smartbox;Dinner in a restaurant mentioned in the MICHELIN 2022 Guide in the Loire Valley;An exquisite gastronomic break awaits the finest palates at the Auberge du Bon Laboureur, in the heart of the magnificent Loire Valley, in the small village of Chenonceaux. This establishment mentioned in the MICHELIN 2022 Guide reserves gourmets an exceptional dinner offering true traditional French cuisine, revisited with talent. Each of the dishes served there were cooked with high-quality seasonal products and vegetables picked from the hostel's vegetable garden. Tasty and authentic dishes will follow one another throughout the meal for the greatest of enchantments. Among the many specialties of the house, the delicious blue lobster salad and its dill cream, or the wonderfully well-cooked roasted wild turbot are waiting to be savoured. The word sublime will take on its full meaning, during this moment of high tasting in the heart of a peaceful setting.;Offer your loved ones a treat at the Auberge du Bon Laboureur, a restaurant mentioned in the MICHELIN 2022 Guide located in Chenonceaux.;https://media.smartbox.com/pim/filters:format(webp)/1000002248309717488381.jpg;1
553668;4.5;https://www.tripadvisor.com/Hotel_Review-g1180943-d239687-Reviews-Chateau_Des_Vigiers-Monestier_Bergerac_Dordogne_Nouvelle_Aquitaine.html?m=67180;1186;nos-smartbox/sport-aventure/saut-a-l-elastique-856.html;2;0.326819;44.773475;Monestier;Lieu-dit Le Vigie;FR;GAS;300;10;Dinner at the Château and Relais des Vigiers 1 star in the MICHELIN Guide 2021;Château et Relais des Vigiers - Monestier - Smartbox;Dinner at the Château and Relais des Vigiers 1 star in the MICHELIN Guide 2021Dinner at the Château and Relais des Vigiers 1 star in the MICHELIN Guide 2021;Beautiful 16th century house nestled in the heart of the Dordogne vineyards, the Château et Relais des Vigiers reserves an exceptional gift for lovers of high gastronomy in its restaurant Les Fresques. Chef Didier Casaguana makes you discover a delicate and fragrant cuisine, drawing his inspiration from the passage of the seasons. On the program, a discovery of the creations of this renowned craftsman, mastering to perfection the alchemy between freshness and flavour of the products, accuracy of cooking and harmonious composition of the menus. Comfortably installed in a classic and cosy decor with a superb view of the lake and the surrounding countryside, the finest palates will enjoy a tasty meal that will only be a succession of moments of pleasure renewed at each service. When quality regional products, seasonal vegetables and fine sauces are at the service of the culinary art, all the senses get drunk for a dinner at the top of the refinement.;Discover the refined cuisine of chef Didier Casaguana, at the starred restaurant Les Fresques du Château and Relais des Vigiers. An exquisite gift!;https://media.smartbox.com/pim/filters:format(webp)/1000002248445401550237.jpg;2
553672;4;https://www.tripadvisor.com/Hotel_Review-g425080-d486613-Reviews-Le_Chateau_de_Sully-Sully_Calvados_Basse_Normandie_Normandy.html?m=67180;350;nostri-smartbox/soggiorni/fuga-da-assaporare-868.html;2;-0.735662;49.3029866;Sully;Route de Port-en-Bessin;FR;GAS;300;8.4;Gastronomic menu at the Château de Sully restaurant 1 star in the MICHELIN 2022 Guide, in Bayeux;Gastronomic menu at the starred Château de Sully in the MICHELIN Guide - Bayeux - Smartbox;Gastronomic menu at the Château de Sully restaurant 1 star in the MICHELIN 2022 Guide, in Bayeux;"In the heart of the Calvados countryside, near Bayeux, the Château de Sully invites gourmets to live an exquisite break! Nestled in a green garden, this beautiful 18th-century building offers a gourmet stopover. In its large bright rooms or under its veranda with views of the English park, the fine palaces are invited to an exceptional meal. Its chef Nicolas Fages, awarded a star in the MICHELIN 2022 Guide, stops time with his menu ""A season in Sully"". From the appetizer to the latest mignardise, gourmets will be amazed by the creativity and the search for dishes with authentic flavours that dominate each of its dishes. Refined local products and careful preparations, each gesture is undertaken with a single purpose: to sublimate the natural taste of the ingredients. Regional cuisine and inspirations from elsewhere intertwine, accompanied precisely by great wines and delicious local grape varieties.";Offer an exquisite menu at the Château de Sully, starred in the MICHELIN Guide 2022. A gastronomic event combining creativity and authenticity!;https://media.smartbox.com/pim/filters:format(webp)/10000022484081677004713.jpg;4
553686;4.5;https://www.tripadvisor.com/Hotel_Review-g677467-d676797-Reviews-La_Gentilhommiere_Restaurant_Etincelles-Sainte_Sabine_Born_Dordogne_Nouvelle_Aquitaine.html?m=67180;89;nuestras-smartbox/aventura/maxima-emocion-862.html;2;0.724773;44.707707;Sainte-Sabine-Born;Le Bourg;FR;GAS;300;10;7-course dinner with wine in a restaurant mentioned in the MICHELIN 2022 Guide near Bergerac;7-course gourmet meal with wine near Bergerac - Smartbox;7-course dinner with wine in a restaurant mentioned in the MICHELIN 2022 Guide near Bergerac;At the gates of the Bergeracois and Bordeaux vineyards, La Gentilhommière is revealed at the bend of a small country road. As a well-kept secret, this charming house hides behind its wrought iron gates the gastronomic restaurant Étincelles, mentioned in the MICHELIN 2022 Guide, chef Vincent Lucas' playground. On the occasion of a prestigious dinner, guests will be the privileged witnesses of what this virtuoso does best: to offer an unforgettable sensory and gustatory journey through a refined, creative and inspired cuisine. The dining room hosts a decoration that perfectly recreates a family home atmosphere: tables in glass, linen, stone and vegetation giving the place its bucolic atmosphere. Under the eyes of gourmets will follow one another, the delicious creations of this talented chef, who likes to revisit the recipes of yesteryear over the seasons, with respect for the products of his region. The Périgord in its best!;Treat yourself to a creative and bold dinner at the restaurant Étincelles - La Gentilhommière mentioned in the MICHELIN 2022 Guide. A trip for gourmets!;https://media.smartbox.com/pim/filters:format(webp)/100000224838475188975.jpg;2
553687;4.5;https://www.tripadvisor.com/Restaurant_Review-g187147-d11180479-Reviews-La_Scene_Theleme-Paris_Ile_de_France.html?m=67180;425;unsere-smartbox/unterhaltung/wellness-oasen-898.html;2;2.2952863;48.8763117;Paris;18 rue Troyon;FR;GAS;300;9.16;Dinner at La Scène Thélème, 1 star in the MICHELIN Guide 2022;La Scène Thélème - Paris - Smartbox;Dinner at La Scène Thélème, 1 star in the MICHELIN Guide 2022;Here is a new kind of experience, between theatre and gastronomy, in a refined setting. A new sensation of the Parisian culinary scene, La Scène Thélème opens the doors of its gourmet restaurant, awarded one star in the MICHELIN 2022 Guide. Two evenings a week, this address hosts an independent theatre troupe, while in the kitchen, chef Julien Roucheteau likes to think that his art is a matter of greed, sensations and audacity. Bar carpaccio, Bresse poultry supreme, candied Vosges mirabelles... it applies, day after day, to offer recipes concocted from exceptional products. During the tasting, it is so precious to be surprised by a taste, a visual and a dressage. Discreetly, the chef will observe astonishment and smile on all faces as soon as the curtain rises. The singular concept of this prestigious table will be enough to amaze the most curious gourmands.;Delight your loved ones with an experience between theatre and gastronomy. The concept of this Michelin-starred table in the MICHELIN 2022 Guide is surprising!;https://media.smartbox.com/pim/filters:format(webp)/10000022484331176659289.jpg;18
